"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"763","1",12,10,2.30434782608696,3,1100,8000,13,85,41,49,47,3,51,45,"1",20.863309352518,"1",0,55000,"1"
"766","0",6,12,2.4375,39.5,2044,17500,22,95,5,52,65,6,102,63,"1",54.8757170172084,"1",0,27000,"1"
"801","0",16,17,3.96551724137931,97,164,3021,7,92,5,47,50,1,13,21,"0",96.2962962962963,"1",1,30800,"3"
"802","1",16,17,3.09090909090909,92,164,3021,7,92,5,47,50,1,13,21,"0",60,"1",0,39000,"3"
"803","0",12,12,3.44444444444444,40,164,3021,7,92,5,47,50,1,13,21,"0",71.4285714285714,"0",0,65000,"3"
"805","1",11,11,2.5,44.5,164,3021,7,92,5,47,50,1,13,21,"0",2.85714285714286,"1",0,0,"1"
"869","0",17,12,3.51612903225806,43,1739,20000,27,90,20,51,43,6,79,30,"0",90,"1",1,33000,"3"
"911","1",10,11,1.90909090909091,50,1126,17000,33,92,2,50,32,4,56,21,"1",13.215859030837,"0",1,25000,"1"
"928","1",10,12,2.93103448275862,96,471,5000,50,93,4,45,37,1,35,16,"0",59.6330275229358,"1",2,59000,"2"
"941","1",8,9,2.29032258064516,1,1475,33000,35,92,10,60,25,3,75,25,"1",59.5238095238095,"0",2,47000,"1"
"943","1",12,12,1.75675675675676,32,1475,33000,35,92,10,60,25,3,75,25,"0",10.3448275862069,"1",1,38000,"1"
"947","0",12,12,1.92592592592593,62,1015,14100,17,93,3,50,37,2,49,39,"0",25.8928571428571,"1",2,67000,"1"
"948","0",11,11,3,82.5,1015,14100,17,93,3,50,37,2,49,39,"0",67.0940170940171,"1",1,32000,"1"
"949","0",11,11,2.875,83,1015,14100,17,93,3,50,37,2,49,39,"0",70.7762557077626,"1",4,45000,"1"
"950","0",17,18,3.66666666666667,93.5,1015,14100,17,93,3,50,37,2,49,39,"0",91.6666666666667,"1",4,312324,"4"
"957","1",12,12,2.78571428571429,51,1223,13000,0,94,2,51,50,4,69,40,"0",55.1020408163265,"1",2,73000,"1"
"958","1",12,12,2.96153846153846,40,1223,13000,0,94,2,51,50,4,69,40,"0",63.7362637362637,"1",0,2000,"1"
"967","0",18,12,3.29032258064516,50,999,17600,6,93,4,50,54,4,59,41,"0",87.5555555555556,"1",2,27000,"4"
"972","0",8,9,3.19354838709677,47,999,17600,6,93,4,50,54,4,59,41,"0",74.8898678414097,"1",2,26830,"1"
"984","0",12,12,2.17948717948718,1,561,8559,15,96,3,49,30,2,37,60,"0",7.82608695652173,"1",0,12000,"1"
"985","0",12,16,3,51,561,8559,15,96,3,49,30,2,37,60,"0",64.6551724137931,"1",0,34000,"1"
"1000","1",16,12,3,74.5,510,7600,15,97,2,51,35,1,25,30,"0",59.8484848484849,"1",2,312324,"3"
"1002","0",12,12,3.28,58,510,7600,15,97,2,51,35,1,25,30,"0",73.728813559322,"0",0,4000,"3"
"1003","0",12,9,3.07407407407407,59.5,510,7600,15,97,2,51,35,1,25,30,"0",61.864406779661,"1",1,39000,"1"
"1005","1",12,14,2.29166666666667,24,510,7600,15,97,2,51,35,1,25,30,"0",21.1864406779661,"1",2,27000,"1"
"1006","0",14,16,3,54,510,7600,15,97,2,51,35,1,25,30,"0",56.0606060606061,"1",2,56000,"3"
"1008","1",12,9,2.08695652173913,31,510,7600,15,97,2,51,35,1,25,30,"0",14.4067796610169,"1",3,28000,"1"
"1010","1",12,12,1.40740740740741,62,1780,17074,8,93,5,51,40,5,83,69,"0",6.74157303370787,"0",0,24800,"1"
"1021","0",17,12,3.16129032258065,74,1780,17074,8,93,5,51,40,5,83,69,"0",65.2061855670103,"0",0,55000,"4"
"1031","1",12,12,3.24,50,919,15249,8,95,7,50,35,2,43,47,"0",73.9336492890995,"1",2,156000,"3"
"1035","0",11,12,2.47619047619048,55,919,15249,8,95,7,50,35,2,43,47,"0",53.2663316582915,"1",1,312324,"5"
"1037","0",10,4,2.04347826086957,40,919,15249,8,95,7,50,35,2,43,47,"0",30.6532663316583,"1",1,43000,"1"
"1038","1",12,12,2.71428571428571,30,919,15249,8,95,7,50,35,2,43,47,"0",59.4202898550725,"1",0,58000,"1"
"1040","0",12,9,2.63333333333333,25,980,11180,7,95,7,49,37,3,40,45,"0",47.8787878787879,"1",0,50000,"1"
"1051","0",11,11,2.04761904761905,85,822,10748,7,95,99,47,60,3,41,26,"0",15.8249158249158,"0",1,0,"1"
"1053","1",12,12,2.83870967741935,66,822,10748,7,95,99,47,60,3,41,26,"0",62.2047244094488,"1",3,16000,"1"
"1069","1",12,12,2.90625,65,980,11180,7,95,7,49,37,3,40,45,"0",74.1721854304636,"1",0,93000,"2"
"1075","0",12,16,3.73913043478261,4,389,1200,1,25,99,60,50,0,22,40,"0",82.3529411764706,"1",1,44000,"3"
"1080","0",10,6,3.27272727272727,30,360,6300,20,95,4,49,56,1,19,47,"0",68.1818181818182,"1",0,15000,"1"
"1117","1",12,14,1.64,16,818,12370,23,90,15,54,56,2,53,35,"1",14.1592920353982,"0",0,105000,"1"
"1121","0",12,16,4,79,1165,24163,15,94,10,54,46,2,37,20,"0",99.5192307692308,"1",2,0,"3"
"1151","1",12,18,3.52173913043478,63,535,7200,10,95,30,50,55,2,30,50,"0",85.0746268656716,"1",2,95000,"4"
"1181","1",16,16,3.9047619047619,56,1785,17000,4,86,0,51,63,4,77,11,"0",98.8,"1",3,140000,"3"
"1224","1",12,12,2.64285714285714,1,1315,6000,80,96,20,49,50,4,61,1,"0",44.2105263157895,"1",1,90000,"1"
"1268","0",12,12,2.86486486486486,7,477,12600,5,97,3,50,48,2,29,14,"0",59.4827586206897,"1",0,36400,"3"
"1312","1",12,12,3.08,24,152,2500,0,95,2,50,50,1,17,10,"0",40,"1",0,54000,"1"
"1314","1",12,9,4,93,152,2500,0,95,2,50,50,1,17,10,"0",87.5,"1",1,79000,"1"
"1324","0",12,18,3.71875,84.5,94,1646,10,90,1,57,38,1,13,19,"0",86.6666666666667,"1",2,37080,"3"
"1345","1",9,8,2.55,63,1323,47883,50,88,8,47,57,3,73,28,"0",37.9061371841155,"1",1,41000,"1"
"1349","0",14,8,3.96296296296296,92,1323,47883,50,88,8,47,57,3,73,28,"1",98.2758620689655,"1",0,79000,"4"
"1351","0",12,12,3.61538461538462,62,1323,47883,50,88,8,47,57,3,73,28,"0",82.7586206896552,"1",0,96000,"3"
"1352","0",12,12,3.20833333333333,21,1323,47883,50,88,8,47,57,3,73,28,"0",78.9272030651341,"1",0,32000,"1"
"1360","0",12,12,3.88888888888889,78,1323,47883,50,88,8,47,57,3,73,28,"0",97.7011494252874,"1",0,17000,"4"
"1361","0",12,12,3.625,79,1323,47883,50,88,8,47,57,3,73,28,"1",89.1891891891892,"1",2,0,"2"
"1362","0",12,12,4,99,1323,47883,50,88,8,47,57,3,73,28,"1",99.6138996138996,"1",2,47000,"3"
"1363","1",12,10,2.71428571428571,93,1323,47883,50,88,8,47,57,3,73,28,"0",41.6666666666667,"1",0,6000,"1"
"1364","1",12,8,3.18181818181818,38,1323,47883,50,88,8,47,57,3,73,28,"0",72.2419928825623,"1",0,0,"3"
"1367","1",9,12,2.91304347826087,2,1323,47883,50,88,8,47,57,3,73,28,"0",57.5862068965517,"1",0,0,"1"
"1371","1",12,12,2,52,1323,47883,50,88,8,47,57,3,73,28,"0",15.4440154440154,"1",1,12000,"2"
"1372","0",12,12,3.79166666666667,78,1323,47883,50,88,8,47,57,3,73,28,"0",97.0037453183521,"1",0,40000,"4"
"1375","0",8,9,3.22222222222222,7,1323,47883,50,88,8,47,57,3,73,28,"1",70.7142857142857,"1",2,30000,"1"
"1378","1",12,12,3.91666666666667,79,1323,47883,50,88,8,47,57,3,73,28,"0",96.4285714285714,"1",2,148000,"3"
"1379","1",12,12,2,57,1323,47883,50,88,8,47,57,3,73,28,"0",14.4827586206897,"1",0,60000,"1"
"1380","1",12,13,4,95,1323,47883,50,88,8,47,57,3,73,28,"0",76.6283524904215,"1",2,110000,"3"
"1390","0",6,0,1.94736842105263,13,467,26000,60,93,10,51,50,1,33,21,"0",36.2068965517241,"1",2,20000,"1"
"1411","0",5,4,2.30434782608696,13,467,26000,60,93,10,51,50,1,33,21,"0",43.1034482758621,"1",1,23000,"1"
"1424","0",0,0,2.52173913043478,28,467,26000,60,93,10,51,50,1,33,21,"0",25.531914893617,"0",2,20000,"1"
"1426","1",6,2,3,21,467,26000,60,93,10,51,50,1,33,21,"0",83.1683168316832,"0",0,25000,"1"
"1495","1",17,20,3.79310344827586,99,906,13689,15,91,5,55,55,5,95,50,"0",97.6744186046512,"1",0,74000,"5"
"1499","1",16,20,3.14814814814815,97.3333333333333,906,13689,15,91,5,55,55,5,95,50,"0",90.0332225913621,"1",3,312324,"4"
"1506","0",12,12,2.51851851851852,57.5,683,13000,18,93,3,50,58,3,58,60,"0",50.4761904761905,"1",0,0,"1"
"1537","1",16,10,1.38461538461538,74.5,2048,23309,1,94,1,49,42,6,95,80,"0",6.23608017817372,"0",0,8600,"1"
"1538","1",12,14,1.34615384615385,79,2048,23309,1,94,1,49,42,6,95,80,"0",0.196463654223962,"0",2,29100,"2"
"1544","0",12,11,2.29166666666667,58,2048,23309,1,94,1,49,42,6,95,80,"1",48.5265225933202,"1",1,40000,"3"
"1548","0",14,18,3.97058823529412,99,2048,23309,1,94,1,49,42,6,95,80,"0",98.6636971046771,"1",3,125000,"5"
"1550","1",12,16,3.1,52,2048,23309,1,94,1,49,42,6,95,80,"0",73.6170212765958,"1",2,140000,"3"
"1647","1",16,20,3.68571428571429,68,885,15000,5,91,2,50,47,4,73,50,"0",97.6744186046512,"1",4,312324,"4"
"1649","0",14,12,3.17241379310345,12,1725,25000,3,91,12,52,60,9,110,45,"0",79.491833030853,"1",2,15000,"3"
"1653","0",12,13,2.85185185185185,12,1725,25000,3,91,12,52,60,9,110,45,"0",66.3385826771654,"1",0,312324,"3"
"1655","0",16,16,2.16666666666667,50,755,16500,2,95,2,51,46,3,61,32,"0",15.0753768844221,"1",3,35000,"1"
"1678","1",12,12,2.29166666666667,76.5,1500,9000,40,91,21,50,32,5,94,42,"0",34.8484848484848,"1",2,46000,"1"
"1683","0",10,8,3.65217391304348,86,1500,9000,40,91,21,50,32,5,94,42,"0",88.7459807073955,"1",1,35000,"3"
"1684","1",10,8,2.85714285714286,33,1500,9000,40,91,21,50,32,5,94,42,"0",47.588424437299,"1",1,0,"1"
"1687","0",12,12,2.71428571428571,73,1500,9000,40,91,21,50,32,5,94,42,"0",71.0610932475884,"0",1,89000,"2"
"1713","0",12,12,2.48,4,1950,15500,17,94,8,53,35,5,88,75,"0",65.0853889943074,"1",2,28300,"1"
"1728","1",5,14,1.82608695652174,60,2378,16000,45,94,12,50,50,6,130,50,"0",44.3708609271523,"1",0,0,"1"
"1736","0",16,20,3.39393939393939,12,480,5000,5,90,1,100,95,3,30,50,"0",63.8888888888889,"1",0,56000,"4"
"1755","0",11,12,2.31578947368421,50,1078,14556,1,92,11,51,58,4,50,35,"0",29.156010230179,"1",1,45000,"4"
"1761","0",12,12,2.72,55,1078,14556,1,92,11,51,58,4,50,35,"0",55.6291390728477,"1",2,10500,"1"
"1763","0",12,12,3.72413793103448,80,1344,13081,1,90,5,53,40,4,55,70,"0",92.6190476190476,"1",2,7000,"3"
"1764","1",13,14,2.39130434782609,28,1344,13081,1,90,5,53,40,4,55,70,"0",39.047619047619,"0",0,46000,"1"
"1770","1",12,16,2.86206896551724,15,1344,13081,1,90,5,53,40,4,55,70,"0",61.1627906976744,"1",3,312324,"5"
"1773","0",12,14,2.66666666666667,44,640,5000,0,95,2,52,80,2,35,30,"0",48.6666666666667,"1",4,18000,"2"
"1774","0",12,16,3.71875,97.3333333333333,640,5000,0,95,2,52,80,2,35,30,"0",89.8648648648649,"0",0,60350,"5"
"1775","0",12,19,3.88888888888889,97,640,5000,0,95,2,52,80,2,35,30,"0",95.3333333333333,"0",0,93000,"3"
"1797","1",12,12,3.03571428571429,36,869,8000,7,90,10,48,52,3,53,40,"0",67.4418604651163,"1",0,24000,"1"
"1798","0",12,16,3.93548387096774,56,869,8000,7,90,10,48,52,3,53,40,"0",96.7136150234742,"0",3,47000,"3"
"1809","0",16,16,3.16129032258065,85,2912,28000,7,94,2,49,35,8,162,92,"0",78.134110787172,"1",3,5500,"3"
"1830","1",16,13,3.28571428571429,4,2624,38055,10,10,10,50,47,8,131,50,"0",91.0091743119266,"0",0,70000,"3"
"1854","0",12,12,2.78125,29,1823,20400,0,95,4,45,34,5,88,67,"0",46.1538461538462,"1",0,24000,"1"
"1864","1",12,12,2.53125,40,1023,34384,3,94,11,0,14,6,51,47,"0",30.2521008403361,"1",0,12000,"2"
"1867","0",12,10,3,84,1823,20400,0,95,4,45,34,5,88,67,"0",64.8333333333333,"1",3,4000,"1"
"1873","0",16,17,3.21428571428571,55,1358,18000,3,96,2,53,49,4,80,57,"0",86.6295264623955,"0",0,88340,"4"
"1892","1",12,10,1.4,49,557,7100,15,95,99,47,46,2,33,28,"0",3.93442622950819,"0",0,30000,"1"
"1925","0",12,12,2.78787878787879,68,715,15000,1,95,0,45,50,2,40,40,"0",35.5029585798817,"1",0,30000,"1"
"1936","1",12,12,3,84,629,8650,2,92,6,52,19,2,32,45,"0",71.1764705882353,"1",2,45000,"4"
"1970","1",16,16,2.34615384615385,67.5,855,13342,1,97,99,47,60,3,54,32,"0",25.1893939393939,"1",2,120000,"3"
"1985","1",12,12,3.41379310344828,95,1811,21780,12,89,25,51,41,8,110,50,"0",77.8761061946903,"1",3,90000,"1"
"1991","0",10,8,2.54545454545455,48,812,15552,3,93,5,55,45,4,52,25,"0",5.6872037914692,"1",2,25000,"2"
"2002","0",12,12,2.09677419354839,70,2020,28578,6,90,20,48,29,7,120,60,"0",21.3247172859451,"1",3,72000,"1"
"2003","0",12,8,2.28125,42,1945,14484,10,84,20,51,45,7,106,20,"0",30.060120240481,"0",1,7500,"1"
"2006","0",12,12,1.06666666666667,32,1811,21780,12,89,25,51,41,8,110,50,"0",6.04490500863558,"1",1,0,"1"
"2009","1",12,12,2.54838709677419,89,2020,28578,6,90,20,48,29,7,120,60,"0",34.0322580645161,"0",0,33000,"3"
"2019","1",8,8,2.3125,31,812,15552,3,93,5,55,45,4,52,25,"0",41.0810810810811,"1",3,140000,"1"
"2025","1",11,12,2.83333333333333,92,1438,18615,6,95,4,50,36,3,66,64,"0",45.3947368421053,"1",0,52000,"1"
"2027","0",20,12,2.35483870967742,69,1438,18615,6,95,4,50,36,3,66,64,"0",22.3684210526316,"1",2,0,"3"
"2028","0",11,12,3.10344827586207,52,1438,18615,6,95,4,50,36,3,66,64,"0",64.0625,"1",2,0,"3"
"2058","0",12,12,1.35294117647059,91.5,1630,20000,1,95,2,52,50,4,79,52,"0",92.5257731958763,"1",2,110000,"4"
"2068","1",12,13,3.53333333333333,99,1968,19000,6,95,3,49,44,6,105,33,"0",84.9802371541502,"1",0,70000,"3"
"2070","1",12,14,3.31034482758621,74,1968,19000,6,95,3,49,44,6,105,33,"0",81.7142857142857,"1",2,312324,"5"
"2087","1",17,14,3.96969696969697,90.5,1071,10984,5,95,3,48,50,4,58,35,"0",96.0159362549801,"1",2,312324,"4"
"2088","1",12,16,1.94444444444444,92,1071,10984,5,95,3,48,50,4,58,35,"0",7.54716981132076,"1",2,98900,"3"
"2094","0",15,12,3.1,97,1071,10984,5,95,3,48,50,4,58,35,"0",61.2167300380228,"1",2,0,"1"
"2095","0",15,12,2.48148148148148,30,1071,10984,5,95,3,48,50,4,58,35,"0",30.5660377358491,"0",0,0,"1"
"2097","1",12,12,3.96296296296296,99,1071,10984,5,95,3,48,50,4,58,35,"0",98.8679245283019,"1",0,118000,"3"
"2110","0",14,14,2.42424242424242,80,705,8000,0,90,0,60,73,3,44,31,"0",43.4782608695652,"1",3,105000,"2"
"2127","0",12,12,1.81481481481481,5,1421,5549,15,85,15,50,59,5,66,95,"1",35.3092783505155,"1",0,40000,"1"
"2156","1",16,16,1.90322580645161,45,1636,16507,35,90,25,45,58,4,76,34,"0",65.0704225352113,"1",1,100000,"1"
"2174","1",14,13,1.57142857142857,64,2900,24000,0,95,10,52,59,6,125,50,"0",4.55259026687598,"1",0,38000,"1"
"2176","1",13,17,3.11538461538462,99,2900,24000,0,95,10,52,59,6,125,50,"0",81.3186813186813,"1",2,312324,"4"
"2178","0",12,12,2.56,67,2900,24000,0,95,10,52,59,6,125,50,"0",44.2700156985871,"1",3,46000,"4"
"2183","1",12,12,1.6,41,2779,34000,17,93,10,52,53,7,137,35,"0",5.55555555555556,"0",0,36000,"1"
"2203","0",12,12,3.85714285714286,66,166,6000,10,11,69,50,75,1,26,39,"0",96.969696969697,"1",1,48000,"4"
"2204","0",12,12,3.85714285714286,76,166,6000,10,11,69,50,75,1,26,39,"1",93.5483870967742,"0",0,69000,"3"
"2231","0",14,16,3.08695652173913,1,2650,30000,5,94,5,52,60,7,105,4,"0",96.1904761904762,"1",1,63000,"3"
"2255","1",16,13,2.96774193548387,90,1141,14384,0,95,14,0,1,4,73,53,"0",84.390243902439,"1",3,100000,"4"
"2288","1",16,14,3.28,86,756,8811,10,95,15,49,42,2,39,55,"1",75.7990867579909,"1",3,312324,"4"
"2290","1",9,11,2.39130434782609,48,756,8811,10,95,15,49,42,2,39,55,"0",29.0322580645161,"1",1,70000,"2"
"2309","1",9,12,2.90909090909091,1,1504,21000,20,91,12,48,45,5,90,50,"0",57.843137254902,"1",3,66000,"2"
"2315","1",12,18,3.26086956521739,53,1504,21000,20,91,12,48,45,5,90,50,"0",70.5234159779614,"1",2,85000,"1"
"2316","1",12,12,3.54166666666667,24,1504,21000,20,91,12,48,45,5,90,50,"0",81.3333333333333,"1",1,104000,"3"
"2317","1",12,12,3.47826086956522,50,1504,21000,20,91,12,48,45,5,90,50,"0",74.5098039215686,"1",3,50000,"3"
"2368","1",16,12,3.03571428571429,59,1544,23000,13,87,13,57,50,6,75,47,"0",61.5120274914089,"1",3,57000,"3"
"2372","1",14,13,1.725,16,1082,21670,2,8,2,50,53,4,60,76,"0",1.14068441064639,"1",0,43000,"1"
"2378","0",16,16,3.66666666666667,7,1432,26000,2,90,5,53,34,5,67,81,"0",87.8205128205128,"0",2,103000,"4"
"2381","0",12,14,2.59459459459459,1,1432,26000,2,90,5,53,34,5,67,81,"0",70.5128205128205,"0",2,300,"1"
"2406","0",12,15,2.7037037037037,50,1890,15000,30,90,15,49,45,5,75,20,"0",38.5579937304075,"1",0,0,"1"
"2407","1",12,15,2.94736842105263,67,1890,15000,30,90,15,49,45,5,75,20,"0",35.2941176470588,"1",1,125000,"4"
"2414","1",12,16,3.64516129032258,81,2004,15000,14,96,14,48,51,7,87,50,"0",90.1538461538462,"1",1,312324,"3"
"2459","0",15,12,2.59259259259259,29.5,881,8510,12,93,10,45,37,3,36,15,"0",35.1851851851852,"0",0,25000,"4"
"2460","1",9,11,2.28571428571429,49.5,881,8510,12,93,10,45,37,3,36,15,"0",56.8181818181818,"0",0,0,"1"
"2508","0",12,16,3.35483870967742,74,950,6000,0,95,1,66,70,2,50,10,"0",77.7251184834123,"1",4,120000,"3"
"2510","1",12,12,2.61538461538462,56,1750,20000,9,89,10,45,40,5,98,20,"0",70.4,"1",1,312324,"3"
"2515","0",12,12,2.40740740740741,1,1750,20000,9,89,10,45,40,5,98,20,"0",68,"1",1,45000,"1"
"2523","1",12,16,2.32142857142857,4,1750,20000,9,89,10,45,40,5,98,20,"0",64.5833333333333,"1",0,88443,"1"
"2526","0",16,18,3.20689655172414,56,1485,11550,2,92,3,53,50,5,90,35,"0",92.5531914893617,"0",2,100000,"4"
"2534","1",10,15,1.55882352941176,67,1594,22323,6,93,2,50,51,6,104,44,"0",18.798955613577,"1",2,128800,"2"
"2541","1",12,12,2.38709677419355,4,1000,15517,35,90,10,55,45,3,70,22,"0",36.7647058823529,"1",0,34000,"1"
"2593","1",16,16,2.175,50,650,7871,5,96,3,52,37,1,37,30,"0",22.1476510067114,"1",3,79000,"2"
"2604","1",13,17,3.04,84,225,2900,43,94,2,40,38,1,16,20,"0",78.5714285714286,"1",1,65000,"3"
"2610","0",14,12,2.18181818181818,76,628,12325,49,94,5,51,33,2,37,50,"0",21.9298245614035,"1",2,20000,"1"
"2611","1",12,10,3.14285714285714,90,628,12325,49,94,5,51,33,2,37,50,"0",76.875,"0",0,24000,"2"
"2612","0",12,13,2.72727272727273,78,628,12325,49,94,5,51,33,2,37,50,"0",45.1612903225806,"1",0,0,"3"
"2636","0",16,16,3.65217391304348,79,628,12325,49,94,5,51,33,2,37,50,"0",93.9024390243902,"1",1,20000,"4"
"2642","0",12,11,2.40909090909091,78,628,12325,49,94,5,51,33,2,37,50,"0",44.7368421052632,"1",1,15000,"4"
"2645","1",12,12,2.9047619047619,84,628,12325,49,94,5,51,33,2,37,50,"0",73.780487804878,"1",1,80000,"3"
"2646","1",12,14,2.72727272727273,56,628,12325,49,94,5,51,33,2,37,50,"0",59.6491228070175,"1",3,60000,"3"
"2649","1",12,13,2.8,72,628,12325,49,94,5,51,33,2,37,50,"0",56.547619047619,"1",1,36000,"4"
"2657","1",12,14,3.95238095238095,95,408,8000,25,94,4,47,47,2,27,45,"1",98.5915492957746,"1",3,312324,"5"
"2672","0",12,10,2.89473684210526,50,570,8250,4,92,3,48,47,1,31,58,"1",72.2772277227723,"1",0,22000,"2"
"2675","0",12,12,3,85.5,570,8250,4,92,3,48,47,1,31,58,"0",86.1386138613861,"1",0,37000,"1"
"2676","0",6,8,2.05263157894737,23,570,8250,4,92,3,48,47,1,31,58,"0",32.0754716981132,"1",0,20000,"1"
"2682","0",12,12,3,67.5,1694,18000,14,92,20,52,60,4,82,15,"0",87.1428571428571,"1",0,19200,"1"
"2684","0",12,12,3.68,60,1694,18000,14,92,20,52,60,4,82,15,"0",88.9473684210526,"1",1,32000,"1"
"2686","0",12,12,3.7741935483871,96.3333333333333,1694,18000,14,92,20,52,60,4,82,15,"0",99.7142857142857,"1",2,43000,"2"
