"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"3625","1",14,12,0.833333333333333,4,3015,20410,25,90,12,62,50,12,157,86,"0",21.7987804878049,"0",1,4500,"1"
"3630","0",10,9,1.61538461538462,1,3015,20410,25,90,12,62,50,12,157,86,"0",49.4545454545455,"0",0,82000,"3"
"3667","1",12,12,1.48275862068966,51,920,20000,1,95,1,51,62,4,51,67,"0",20.253164556962,"1",2,110000,"4"
"3669","1",9,12,3.06896551724138,1,834,9817,60,93,30,47,49,4,59,40,"0",88.7728459530026,"1",2,90000,"3"
"3678","0",12,12,2.80769230769231,12,906,10438,5,93,6,46,53,2,49,65,"0",62.7551020408163,"1",2,6100,"1"
"3780","1",16,14,2.23684210526316,59,1383,19000,3,95,3,53,35,5,74,98,"1",22.3790322580645,"0",0,9000,"2"
"3781","0",10,12,1.63636363636364,14,2054,28000,14,91,12,50,54,7,93,54,"1",16.3194444444444,"0",0,38000,"1"
"3783","1",10,12,0.75,27,2054,28000,14,91,12,50,54,7,93,54,"0",7.57575757575758,"0",0,23000,"1"
"3786","1",11,8,1.69230769230769,22,2054,28000,14,91,12,50,54,7,93,54,"1",17.1149144254279,"0",0,0,"1"
"3787","0",11,8,1.48571428571429,11,2054,28000,14,91,12,50,54,7,93,54,"0",9.6885813148789,"1",0,9800,"1"
"3788","0",11,8,1.82352941176471,13,2054,28000,14,91,12,50,54,7,93,54,"0",16.9550173010381,"0",0,0,"1"
"3793","0",11,12,2.67857142857143,42,1456,16000,15,90,8,49,74,5,71,65,"0",55.8208955223881,"0",0,45600,"3"
"3799","1",9,10,1.81481481481481,1,1453,8533,13,85,8,51,52,4,63,20,"0",30.2439024390244,"1",2,48000,"1"
"3804","0",14,7,3.40909090909091,49,629,7000,15,95,3,50,56,1,28,60,"0",89.7959183673469,"0",1,49000,"3"
"3805","1",14,10,3.5,72.6666666666667,629,7000,15,95,3,50,56,1,28,60,"1",91.9540229885057,"1",2,89700,"3"
"3830","0",16,16,3.27777777777778,31,3451,31500,10,92,25,52,57,7,153,43,"0",79.3397231096912,"0",0,52000,"1"
"3836","1",12,15,2.58823529411765,79.5,2779,34000,17,93,10,52,53,7,137,35,"0",54.5235223160434,"1",2,93800,"2"
"3843","0",12,12,2.60606060606061,41,1878,18800,13,91,8,52,55,4,84,35,"0",49.0476190476191,"0",2,35000,"3"
"3844","0",12,12,2.3695652173913,33.5,1878,18800,13,91,8,52,55,4,84,35,"1",38.3442265795207,"1",0,42000,"1"
"3845","0",12,12,2.76744186046512,46,1878,18800,13,91,8,52,55,4,84,35,"1",66.3951120162933,"1",0,52000,"1"
"3905","1",12,12,3.88,79,2466,23172,16,12,40,51,60,5,110,48,"1",98.3277591973244,"1",2,75000,"3"
"3909","1",15,19,3.51851851851852,79,970,15000,5,95,5,0,20,4,42,0,"0",93.3333333333333,"1",0,312324,"5"
"3939","1",14,19,2.08695652173913,14,660,8401,24,92,99,52,66,2,49,28,"0",7.36607142857143,"0",1,0,"1"
